,Brand_Name,Variant,Price,Manufacturing_Year,Fuel_type,Kms_run,Engine,Owner,Transmission,Mileage
3493,2017 Honda City,i VTEC V,"8,14,432",2017,Petrol,"14,815 Kms",1497 cc,1st Owner,Manual,23.95 kmpl
3494,2016 Maruti Alto K10,VXI,"3,02,208",2016,Petrol,"32,053 Kms",998 cc,1st Owner,Manual,15.04 kmpl
3495,2011 Volkswagen Vento,Petrol Highline,"3,00,000",2011,Petrol,"77,531 Kms",1598 cc,1st Owner,Manual,22.32 kmpl
3496,2013 Hyundai Verna,1.6 SX,"4,27,000",2013,Diesel,"83,401 Kms",1582 cc,1st Owner,Manual,19.4 kmpl
3497,2013 Honda Brio,S MT,"2,72,500",2013,Petrol,"79,651 Kms",1198 cc,2nd Owner,Manual,21.7 kmpl
3498,2020 Maruti S-Presso,VXI Plus,"4,27,056",2020,Petrol,"6,646 Kms",998 cc,1st Owner,Manual,22.9 kmpl
3499,2013 Maruti Swift,VDI,"3,53,497",2013,Diesel,"61,671 Kms",1248 cc,1st Owner,Manual,28.4 kmpl
3500,2017 Maruti Swift Dzire,VDI,"5,85,000",2017,Diesel,"41,508 Kms",1248 cc,1st Owner,Manual,21.64 kmpl
3501,2013 Nissan Sunny,Diesel XL,"2,75,290",2013,Diesel,"54,251 Kms",1461 cc,1st Owner,DL9C,Comprehensive
3502,2015 Honda Brio,1.2 S MT,"3,66,000",2015,Petrol,"40,351 Kms",1198 cc,2nd Owner,Manual,13.2 kmpl
3503,2010 Chevrolet Spark,1.0 PS LPG,"1,06,000",2010,LPG,"82,017 Kms",995 cc,2nd Owner,Manual,24.3 kmpl
3504,2016 Maruti Vitara Brezza,VDi Option,"6,31,500",2016,Diesel,"78,612 Kms",1248 cc,1st Owner,Manual,20.89 kmpl
3505,2018 Maruti Ignis,Delta,"5,03,000",2018,Petrol,"5,114 Kms",1197 cc,1st Owner,Manual,23.59 kmpl
3506,2012 Toyota Etios,GD,"2,51,500",2012,Diesel,"78,536 Kms",1364 cc,2nd Owner,Automatic,14.28 kmpl
3507,2015 Toyota Corolla Altis,VL AT,"9,36,500",2015,Petrol,"43,241 Kms",1798 cc,1st Owner,Manual,21.21 kmpl
3508,2016 Maruti Swift,VXI,"4,45,578",2015,Petrol,"24,477 Kms",1197 cc,1st Owner,Manual,27.39 kmpl
3509,2018 Maruti Baleno,1.3 Delta,"5,70,912",2018,Diesel,"48,118 Kms",1248 cc,1st Owner,DL5C,Zero Dep
3510,2018 Maruti Eeco,5 STR With AC Plus HTR CNG,"3,61,000",2018,CNG,"67,748 Kms",1196 cc,1st Owner,Manual,22.32 kmpl
3511,2013 Hyundai Verna,1.6 SX,"4,14,000",2013,Diesel,"69,239 Kms",1582 cc,1st Owner,Automatic,16.95 kmpl
3512,2012 Hyundai i10,Sportz AT,"3,26,000",2012,Petrol,"64,543 Kms",1197 cc,1st Owner,Manual,24 kmpl
3513,2017 Hyundai Grand i10,1.2 CRDi Magna,"4,12,206",2017,Diesel,"62,547 Kms",1186 cc,1st Owner,Manual,23.5 kmpl
3514,2013 Hyundai Verna,1.4 EX,"4,25,000",2013,Diesel,"66,997 Kms",1396 cc,1st Owner,Automatic,18 kmpl
3515,2015 Honda City,i VTEC CVT VX,"6,90,772",2015,Petrol,"79,502 Kms",1497 cc,1st Owner,Automatic,23.84 kmpl
3516,2018 Tata Tiago,1.2 Revotron XZA,"4,67,826",2018,Petrol,"43,855 Kms",1199 cc,1st Owner,Manual,22 kmpl
3517,2015 Maruti Swift,VXI 2018,"4,90,000",2015,Petrol,"67,565 Kms",1197 cc,1st Owner,Manual,24 kmpl
3518,2018 Hyundai Grand i10,1.2 CRDi Sportz,"4,69,500",2018,Diesel,"45,317 Kms",1186 cc,1st Owner,Automatic,18.4 kmpl
3519,2018 Honda City,V CVT,"10,57,500",2018,Petrol,"14,856 Kms",1498 cc,1st Owner,Manual,18.9 kmpl
3520,2020 Hyundai Grand i10,Sportz Petrol BSIV,"5,78,000",2020,Petrol,"8,509 Kms",1197 cc,1st Owner,Manual,24.3 kmpl
3521,2019 Maruti Vitara Brezza,ZDi,"8,42,500",2019,Diesel,"46,244 Kms",1248 cc,1st Owner,UP14,Comprehensive
3522,2011 Hyundai i10,Sportz 1.2,"2,51,286",2011,Petrol,"38,270 Kms",1197 cc,2nd Owner,Automatic,19 kmpl
3523,2017 Honda Jazz,1.2 V AT i VTEC,"7,40,000",2017,Petrol,"33,873 Kms",1199 cc,1st Owner,DL7C,Comprehensive
3524,2017 Hyundai i20,Asta Option,"5,69,000",2016,Petrol,"50,024 Kms",1197 cc,1st Owner,Manual,22.54 kmpl
3525,2017 Hyundai i20,Magna 1.4 CRDi,"5,44,500",2016,Diesel,"64,390 Kms",1396 cc,1st Owner,Manual,16.2 kmpl
3526,2018 Volkswagen Polo,1.2 MPI Comfortline,"4,30,500",2017,Petrol,"40,750 Kms",1199 cc,1st Owner,Automatic,16.95 kmpl
3527,2012 Hyundai i10,Sportz AT,"3,26,000",2012,Petrol,"64,543 Kms",1197 cc,1st Owner,Manual,24 kmpl
3528,2017 Hyundai Grand i10,1.2 CRDi Magna,"4,12,206",2017,Diesel,"62,547 Kms",1186 cc,1st Owner,Manual,23.5 kmpl
3529,2013 Hyundai Verna,1.4 EX,"4,25,000",2013,Diesel,"66,997 Kms",1396 cc,1st Owner,Automatic,18 kmpl
3530,2015 Honda City,i VTEC CVT VX,"6,90,772",2015,Petrol,"79,502 Kms",1497 cc,1st Owner,Automatic,23.84 kmpl
3531,2018 Tata Tiago,1.2 Revotron XZA,"4,67,826",2018,Petrol,"43,855 Kms",1199 cc,1st Owner,Manual,22 kmpl
